0.000 	-5.000 	-5.500 	0.000 	0.000 	0.000 	0.000 	
0.040 	-5.000 	-5.500 	0.000 	0.000 	0.200 	-0.200 	
0.080 	-5.000 	-5.500 	0.008 	-0.008 	0.400 	-0.400 	
0.120 	-4.999 	-5.501 	0.024 	-0.024 	0.600 	-0.448 	
0.160 	-4.998 	-5.502 	0.048 	-0.042 	0.800 	-0.400 	
0.200 	-4.995 	-5.504 	0.080 	-0.058 	1.000 	-0.351 	
0.240 	-4.991 	-5.507 	0.120 	-0.072 	1.200 	-0.303 	
0.280 	-4.985 	-5.510 	0.168 	-0.084 	1.400 	-0.254 	
0.320 	-4.978 	-5.513 	0.224 	-0.094 	1.600 	-0.205 	
0.360 	-4.967 	-5.517 	0.288 	-0.102 	1.800 	-0.157 	
0.400 	-4.954 	-5.522 	0.360 	-0.109 	2.000 	-0.108 	
0.440 	-4.938 	-5.526 	0.440 	-0.113 	2.200 	-0.060 	
0.480 	-4.919 	-5.531 	0.528 	-0.115 	2.400 	-0.011 	
0.520 	-4.896 	-5.535 	0.624 	-0.116 	2.470 	0.038 	
0.560 	-4.869 	-5.540 	0.723 	-0.114 	2.387 	0.086 	
0.600 	-4.838 	-5.544 	0.818 	-0.111 	2.303 	0.135 	
0.640 	-4.804 	-5.549 	0.910 	-0.106 	2.219 	0.183 	
0.680 	-4.765 	-5.553 	0.999 	-0.098 	2.135 	0.232 	
0.720 	-4.724 	-5.556 	1.085 	-0.089 	2.051 	0.281 	
0.760 	-4.679 	-5.560 	1.167 	-0.078 	1.967 	0.329 	
0.800 	-4.631 	-5.563 	1.245 	-0.065 	1.883 	0.378 	
0.840 	-4.579 	-5.565 	1.321 	-0.049 	1.800 	0.426 	
0.880 	-4.525 	-5.567 	1.393 	-0.032 	1.716 	0.475 	
0.920 	-4.468 	-5.567 	1.461 	-0.013 	1.632 	0.524 	
0.960 	-4.408 	-5.568 	1.526 	0.008 	1.548 	0.572 	
1.000 	-4.346 	-5.567 	1.588 	0.030 	1.464 	0.621 	
1.040 	-4.281 	-5.565 	1.647 	0.055 	1.380 	0.669 	
1.080 	-4.214 	-5.562 	1.702 	0.082 	1.296 	0.718 	
1.120 	-4.145 	-5.558 	1.754 	0.111 	1.213 	0.767 	
1.160 	-4.074 	-5.553 	1.803 	0.141 	1.129 	0.815 	
1.200 	-4.001 	-5.547 	1.848 	0.174 	1.045 	0.864 	
1.240 	-3.926 	-5.539 	1.889 	0.209 	0.961 	0.912 	
1.280 	-3.850 	-5.530 	1.928 	0.245 	0.877 	0.961 	
1.320 	-3.772 	-5.520 	1.963 	0.284 	0.793 	1.010 	
1.360 	-3.693 	-5.508 	1.995 	0.324 	0.709 	1.058 	
1.400 	-3.612 	-5.494 	2.023 	0.366 	0.626 	1.107 	
1.440 	-3.531 	-5.478 	2.048 	0.411 	0.542 	1.155 	
1.480 	-3.449 	-5.461 	2.070 	0.457 	0.458 	1.204 	
1.520 	-3.366 	-5.442 	2.088 	0.505 	0.374 	1.253 	
1.560 	-3.282 	-5.421 	2.103 	0.555 	0.290 	1.301 	
1.600 	-3.197 	-5.397 	2.115 	0.607 	0.206 	1.350 	
1.640 	-3.113 	-5.372 	2.123 	0.661 	0.122 	1.398 	
1.680 	-3.028 	-5.344 	2.128 	0.717 	0.039 	1.447 	
1.720 	-2.942 	-5.315 	2.129 	0.775 	-0.045 	1.496 	
1.760 	-2.857 	-5.282 	2.128 	0.835 	-0.129 	1.544 	
1.800 	-2.772 	-5.248 	2.122 	0.896 	-0.188 	1.528 	
1.840 	-2.688 	-5.211 	2.115 	0.958 	-0.222 	1.447 	
1.880 	-2.603 	-5.171 	2.106 	1.015 	-0.257 	1.366 	
1.920 	-2.519 	-5.130 	2.096 	1.070 	-0.291 	1.285 	
1.960 	-2.435 	-5.086 	2.084 	1.121 	-0.325 	1.204 	
2.000 	-2.352 	-5.040 	2.071 	1.170 	-0.359 	1.123 	
2.040 	-2.270 	-4.992 	2.057 	1.215 	-0.394 	1.042 	
2.080 	-2.188 	-4.943 	2.041 	1.256 	-0.428 	0.961 	
2.120 	-2.107 	-4.892 	2.024 	1.295 	-0.462 	0.880 	
2.160 	-2.026 	-4.839 	2.005 	1.330 	-0.496 	0.799 	
2.200 	-1.946 	-4.785 	1.986 	1.362 	-0.531 	0.718 	
2.240 	-1.867 	-4.730 	1.964 	1.391 	-0.565 	0.637 	
2.280 	-1.789 	-4.674 	1.942 	1.416 	-0.599 	0.556 	
2.320 	-1.712 	-4.617 	1.918 	1.438 	-0.633 	0.475 	
2.360 	-1.636 	-4.559 	1.892 	1.457 	-0.668 	0.394 	
2.400 	-1.560 	-4.501 	1.866 	1.473 	-0.702 	0.313 	
2.440 	-1.486 	-4.441 	1.838 	1.486 	-0.736 	0.232 	
2.480 	-1.414 	-4.382 	1.808 	1.495 	-0.770 	0.151 	
2.520 	-1.342 	-4.322 	1.777 	1.501 	-0.805 	0.070 	
2.560 	-1.271 	-4.262 	1.745 	1.504 	-0.839 	-0.011 	
2.600 	-1.202 	-4.202 	1.712 	1.503 	-0.873 	-0.092 	
2.640 	-1.134 	-4.142 	1.677 	1.500 	-0.907 	-0.173 	
2.680 	-1.068 	-4.082 	1.640 	1.493 	-0.942 	-0.254 	
2.720 	-1.003 	-4.022 	1.603 	1.483 	-0.976 	-0.335 	
2.760 	-0.940 	-3.963 	1.564 	1.469 	-1.010 	-0.416 	
2.800 	-0.878 	-3.905 	1.523 	1.453 	-1.044 	-0.497 	
