0.000 	0.300 	-4.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.300 	-2.500 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.300 	-1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.300 	-5.500 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.106 	0.300 	-4.000 	0.000 	0.000 	0.054 	0.037 	0.512 	0.351 	0.300 	-2.500 	0.000 	0.000 	-0.445 	-0.070 	-4.203 	-0.663 	0.300 	-1.000 	0.000 	0.000 	-0.054 	-0.312 	-0.512 	-2.948 	0.300 	-5.500 	0.000 	0.000 	-0.171 	0.152 	-1.610 	1.434 	
0.212 	0.300 	-4.000 	0.006 	0.004 	0.100 	0.069 	0.433 	0.297 	0.297 	-2.500 	-0.047 	-0.007 	-0.771 	-0.116 	-3.074 	-0.429 	0.300 	-1.002 	-0.006 	-0.033 	-0.100 	-0.577 	-0.433 	-2.495 	0.299 	-5.499 	-0.018 	0.016 	-0.315 	0.281 	-1.362 	1.213 	
0.318 	0.301 	-3.999 	0.016 	0.011 	0.138 	0.095 	0.359 	0.246 	0.288 	-2.502 	-0.129 	-0.020 	-0.989 	-0.139 	-2.051 	-0.219 	0.299 	-1.009 	-0.016 	-0.094 	-0.138 	-0.796 	-0.359 	-2.065 	0.295 	-5.496 	-0.051 	0.046 	-0.434 	0.387 	-1.127 	1.004 	
0.424 	0.304 	-3.997 	0.031 	0.021 	0.169 	0.116 	0.288 	0.198 	0.269 	-2.505 	-0.234 	-0.034 	-1.109 	-0.143 	-1.134 	-0.035 	0.296 	-1.023 	-0.031 	-0.179 	-0.169 	-0.972 	-0.288 	-1.659 	0.287 	-5.489 	-0.098 	0.087 	-0.530 	0.473 	-0.906 	0.807 	
0.530 	0.308 	-3.994 	0.049 	0.034 	0.192 	0.132 	0.222 	0.152 	0.238 	-2.509 	-0.351 	-0.050 	-1.143 	-0.129 	-0.322 	0.125 	0.292 	-1.047 	-0.049 	-0.282 	-0.192 	-1.107 	-0.222 	-1.277 	0.274 	-5.477 	-0.154 	0.137 	-0.604 	0.538 	-0.697 	0.621 	
0.636 	0.314 	-3.990 	0.069 	0.048 	0.209 	0.143 	0.160 	0.109 	0.194 	-2.515 	-0.472 	-0.063 	-1.102 	-0.102 	0.384 	0.259 	0.286 	-1.083 	-0.069 	-0.399 	-0.209 	-1.204 	-0.160 	-0.919 	0.254 	-5.459 	-0.218 	0.194 	-0.658 	0.586 	-0.502 	0.447 	
0.742 	0.323 	-3.984 	0.091 	0.063 	0.220 	0.151 	0.102 	0.070 	0.138 	-2.522 	-0.589 	-0.074 	-0.998 	-0.063 	0.984 	0.368 	0.277 	-1.132 	-0.091 	-0.527 	-0.220 	-1.266 	-0.102 	-0.585 	0.228 	-5.436 	-0.287 	0.256 	-0.691 	0.616 	-0.319 	0.284 	
0.848 	0.334 	-3.977 	0.115 	0.079 	0.225 	0.154 	0.048 	0.033 	0.070 	-2.531 	-0.695 	-0.081 	-0.841 	-0.015 	1.479 	0.452 	0.266 	-1.195 	-0.115 	-0.661 	-0.225 	-1.296 	-0.048 	-0.275 	0.193 	-5.405 	-0.361 	0.321 	-0.707 	0.630 	-0.150 	0.134 	
0.954 	0.347 	-3.968 	0.139 	0.095 	0.225 	0.154 	-0.002 	-0.001 	-0.008 	-2.539 	-0.784 	-0.082 	-0.643 	0.039 	1.867 	0.511 	0.253 	-1.273 	-0.139 	-0.798 	-0.225 	-1.294 	0.002 	0.012 	0.151 	-5.367 	-0.436 	0.388 	-0.707 	0.629 	0.007 	-0.006 	
1.060 	0.363 	-3.957 	0.162 	0.111 	0.220 	0.151 	-0.048 	-0.033 	-0.095 	-2.548 	-0.852 	-0.078 	-0.416 	0.097 	2.150 	0.545 	0.237 	-1.365 	-0.162 	-0.935 	-0.220 	-1.265 	0.048 	0.275 	0.101 	-5.323 	-0.511 	0.455 	-0.691 	0.615 	0.150 	-0.134 	
1.166 	0.382 	-3.944 	0.186 	0.127 	0.210 	0.144 	-0.089 	-0.061 	-0.188 	-2.556 	-0.896 	-0.068 	-0.169 	0.156 	2.327 	0.554 	0.218 	-1.471 	-0.186 	-1.069 	-0.210 	-1.211 	0.089 	0.513 	0.043 	-5.271 	-0.584 	0.520 	-0.661 	0.589 	0.280 	-0.250 	
1.272 	0.403 	-3.930 	0.208 	0.143 	0.197 	0.135 	-0.126 	-0.087 	-0.284 	-2.562 	-0.914 	-0.051 	0.085 	0.213 	2.399 	0.538 	0.197 	-1.591 	-0.208 	-1.198 	-0.197 	-1.134 	0.126 	0.728 	-0.023 	-5.213 	-0.654 	0.583 	-0.619 	0.551 	0.398 	-0.354 	
1.378 	0.426 	-3.914 	0.229 	0.157 	0.180 	0.123 	-0.159 	-0.109 	-0.380 	-2.566 	-0.905 	-0.029 	0.336 	0.265 	2.365 	0.497 	0.174 	-1.724 	-0.229 	-1.318 	-0.180 	-1.036 	0.160 	0.919 	-0.095 	-5.148 	-0.719 	0.641 	-0.566 	0.504 	0.502 	-0.447 	
1.484 	0.451 	-3.896 	0.248 	0.170 	0.160 	0.110 	-0.188 	-0.129 	-0.474 	-2.568 	-0.870 	-0.001 	0.572 	0.311 	2.224 	0.430 	0.149 	-1.870 	-0.248 	-1.428 	-0.160 	-0.921 	0.189 	1.086 	-0.175 	-5.077 	-0.779 	0.694 	-0.503 	0.448 	0.593 	-0.528 	
1.590 	0.478 	-3.878 	0.265 	0.182 	0.137 	0.094 	-0.213 	-0.146 	-0.563 	-2.566 	-0.809 	0.032 	0.782 	0.347 	1.979 	0.339 	0.122 	-2.026 	-0.265 	-1.525 	-0.137 	-0.791 	0.214 	1.229 	-0.260 	-5.001 	-0.833 	0.742 	-0.432 	0.385 	0.671 	-0.598 	
1.696 	0.507 	-3.858 	0.279 	0.192 	0.113 	0.077 	-0.234 	-0.161 	-0.645 	-2.561 	-0.726 	0.069 	0.954 	0.370 	1.627 	0.222 	0.093 	-2.192 	-0.280 	-1.609 	-0.113 	-0.648 	0.234 	1.349 	-0.351 	-4.920 	-0.878 	0.783 	-0.354 	0.315 	0.736 	-0.656 	
1.802 	0.537 	-3.837 	0.291 	0.200 	0.086 	0.059 	-0.251 	-0.172 	-0.716 	-2.551 	-0.625 	0.108 	1.078 	0.379 	1.170 	0.081 	0.063 	-2.367 	-0.291 	-1.678 	-0.086 	-0.495 	0.251 	1.444 	-0.446 	-4.835 	-0.916 	0.816 	-0.270 	0.241 	0.788 	-0.702 	
1.908 	0.569 	-3.816 	0.300 	0.206 	0.058 	0.040 	-0.263 	-0.181 	-0.776 	-2.538 	-0.511 	0.148 	1.150 	0.372 	0.684 	-0.065 	0.031 	-2.547 	-0.301 	-1.730 	-0.058 	-0.334 	0.263 	1.516 	-0.545 	-4.748 	-0.945 	0.841 	-0.182 	0.162 	0.828 	-0.737 	
2.014 	0.601 	-3.794 	0.307 	0.210 	0.029 	0.020 	-0.271 	-0.186 	-0.824 	-2.520 	-0.389 	0.188 	1.176 	0.351 	0.245 	-0.193 	-0.001 	-2.732 	-0.307 	-1.766 	-0.029 	-0.168 	0.272 	1.564 	-0.646 	-4.657 	-0.964 	0.859 	-0.092 	0.082 	0.854 	-0.761 	
