0.000 	-0.400 	-2.500 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	-0.400 	-4.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	-0.400 	-1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	-0.400 	-5.510 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.116 	-0.400 	-2.500 	0.000 	0.000 	0.090 	-0.080 	0.774 	-0.691 	-0.400 	-4.000 	0.000 	0.000 	0.481 	0.161 	4.134 	1.382 	-0.400 	-1.000 	0.000 	0.000 	0.190 	-0.143 	1.629 	-1.233 	-0.400 	-5.510 	0.000 	0.000 	-0.039 	0.290 	-0.332 	2.494 	
0.233 	-0.399 	-2.501 	0.010 	-0.009 	0.166 	-0.148 	0.655 	-0.585 	-0.397 	-3.999 	0.056 	0.019 	0.828 	0.301 	2.985 	1.207 	-0.399 	-1.001 	0.022 	-0.017 	0.329 	-0.268 	1.201 	-1.073 	-0.400 	-5.508 	-0.004 	0.034 	-0.071 	0.536 	-0.281 	2.111 	
0.349 	-0.397 	-2.503 	0.030 	-0.027 	0.229 	-0.205 	0.542 	-0.484 	-0.385 	-3.995 	0.152 	0.054 	1.055 	0.422 	1.950 	1.038 	-0.394 	-1.005 	0.060 	-0.048 	0.423 	-0.375 	0.808 	-0.920 	-0.401 	-5.500 	-0.013 	0.096 	-0.098 	0.739 	-0.232 	1.747 	
0.465 	-0.392 	-2.507 	0.057 	-0.050 	0.280 	-0.250 	0.436 	-0.389 	-0.360 	-3.986 	0.275 	0.103 	1.175 	0.524 	1.027 	0.874 	-0.384 	-1.013 	0.110 	-0.092 	0.476 	-0.465 	0.451 	-0.772 	-0.403 	-5.484 	-0.024 	0.182 	-0.120 	0.902 	-0.187 	1.404 	
0.582 	-0.384 	-2.515 	0.089 	-0.080 	0.319 	-0.285 	0.335 	-0.299 	-0.320 	-3.970 	0.412 	0.164 	1.200 	0.607 	0.218 	0.715 	-0.368 	-1.027 	0.165 	-0.146 	0.491 	-0.538 	0.129 	-0.630 	-0.407 	-5.457 	-0.038 	0.287 	-0.137 	1.028 	-0.144 	1.081 	
0.698 	-0.371 	-2.526 	0.126 	-0.113 	0.347 	-0.310 	0.241 	-0.216 	-0.264 	-3.947 	0.551 	0.234 	1.144 	0.672 	-0.478 	0.562 	-0.346 	-1.047 	0.222 	-0.208 	0.473 	-0.596 	-0.156 	-0.494 	-0.412 	-5.417 	-0.054 	0.407 	-0.149 	1.119 	-0.103 	0.778 	
0.814 	-0.354 	-2.541 	0.167 	-0.149 	0.365 	-0.326 	0.154 	-0.137 	-0.192 	-3.915 	0.685 	0.313 	1.021 	0.721 	-1.062 	0.415 	-0.317 	-1.076 	0.277 	-0.278 	0.425 	-0.638 	-0.407 	-0.365 	-0.420 	-5.362 	-0.071 	0.537 	-0.156 	1.176 	-0.066 	0.495 	
0.931 	-0.332 	-2.561 	0.209 	-0.187 	0.373 	-0.333 	0.072 	-0.064 	-0.105 	-3.874 	0.803 	0.396 	0.843 	0.752 	-1.532 	0.273 	-0.281 	-1.112 	0.327 	-0.352 	0.353 	-0.666 	-0.621 	-0.241 	-0.429 	-5.291 	-0.090 	0.674 	-0.160 	1.203 	-0.031 	0.232 	
1.047 	-0.305 	-2.585 	0.253 	-0.226 	0.373 	-0.333 	-0.003 	0.003 	-0.006 	-3.823 	0.901 	0.484 	0.623 	0.768 	-1.889 	0.136 	-0.241 	-1.158 	0.368 	-0.430 	0.260 	-0.681 	-0.800 	-0.123 	-0.441 	-5.205 	-0.108 	0.814 	-0.160 	1.202 	0.001 	-0.010 	
1.163 	-0.273 	-2.613 	0.296 	-0.264 	0.365 	-0.326 	-0.072 	0.064 	0.103 	-3.761 	0.974 	0.573 	0.375 	0.769 	-2.132 	0.005 	-0.196 	-1.212 	0.398 	-0.509 	0.150 	-0.682 	-0.943 	-0.011 	-0.454 	-5.102 	-0.127 	0.954 	-0.156 	1.175 	0.031 	-0.232 	
1.280 	-0.236 	-2.646 	0.338 	-0.302 	0.349 	-0.312 	-0.135 	0.120 	0.219 	-3.689 	1.017 	0.663 	0.111 	0.755 	-2.263 	-0.120 	-0.149 	-1.276 	0.415 	-0.588 	0.028 	-0.671 	-1.051 	0.095 	-0.470 	-4.983 	-0.145 	1.090 	-0.150 	1.124 	0.058 	-0.434 	
1.396 	-0.195 	-2.683 	0.379 	-0.338 	0.327 	-0.292 	-0.191 	0.171 	0.338 	-3.607 	1.030 	0.751 	-0.154 	0.727 	-2.281 	-0.241 	-0.101 	-1.349 	0.419 	-0.666 	-0.103 	-0.649 	-1.123 	0.194 	-0.488 	-4.849 	-0.162 	1.221 	-0.140 	1.053 	0.082 	-0.616 	
1.513 	-0.148 	-2.725 	0.417 	-0.372 	0.299 	-0.267 	-0.241 	0.216 	0.457 	-3.515 	1.012 	0.835 	-0.408 	0.685 	-2.185 	-0.355 	-0.053 	-1.431 	0.407 	-0.742 	-0.237 	-0.615 	-1.159 	0.288 	-0.508 	-4.699 	-0.179 	1.344 	-0.128 	0.962 	0.103 	-0.778 	
1.629 	-0.098 	-2.770 	0.452 	-0.403 	0.266 	-0.237 	-0.285 	0.255 	0.572 	-3.413 	0.965 	0.915 	-0.638 	0.631 	-1.977 	-0.465 	-0.007 	-1.521 	0.379 	-0.813 	-0.372 	-0.571 	-1.160 	0.376 	-0.529 	-4.537 	-0.194 	1.455 	-0.114 	0.855 	0.122 	-0.919 	
1.745 	-0.043 	-2.818 	0.483 	-0.431 	0.228 	-0.204 	-0.323 	0.288 	0.680 	-3.302 	0.891 	0.988 	-0.831 	0.565 	-1.655 	-0.568 	0.035 	-1.620 	0.336 	-0.880 	-0.503 	-0.518 	-1.124 	0.458 	-0.553 	-4.362 	-0.207 	1.555 	-0.098 	0.734 	0.138 	-1.040 	
