0.000 	-2.000 	-3.510 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	-0.400 	-5.010 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	-0.400 	-2.010 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.100 	-3.510 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.117 	-2.000 	-3.510 	0.000 	0.000 	0.198 	0.000 	1.693 	0.000 	-0.400 	-5.010 	0.000 	0.000 	-0.096 	0.096 	-0.819 	0.819 	-0.400 	-2.010 	0.000 	0.000 	0.162 	-0.373 	1.385 	-3.190 	1.100 	-3.510 	0.000 	0.000 	-0.054 	0.113 	-0.466 	0.969 	
0.234 	-1.999 	-3.510 	0.023 	0.000 	0.365 	0.000 	1.432 	0.000 	-0.401 	-5.009 	-0.011 	0.011 	-0.177 	0.177 	-0.693 	0.693 	-0.399 	-2.013 	0.019 	-0.044 	0.282 	-0.669 	1.024 	-2.535 	1.100 	-3.509 	-0.006 	0.013 	-0.106 	0.207 	-0.443 	0.799 	
0.351 	-1.993 	-3.510 	0.066 	0.000 	0.504 	0.000 	1.185 	0.000 	-0.403 	-5.007 	-0.032 	0.032 	-0.244 	0.244 	-0.574 	0.574 	-0.395 	-2.022 	0.052 	-0.122 	0.363 	-0.894 	0.695 	-1.927 	1.098 	-3.506 	-0.019 	0.037 	-0.155 	0.281 	-0.417 	0.640 	
0.467 	-1.982 	-3.510 	0.125 	0.000 	0.615 	0.000 	0.952 	0.000 	-0.409 	-5.001 	-0.060 	0.060 	-0.298 	0.298 	-0.461 	0.461 	-0.386 	-2.043 	0.094 	-0.226 	0.409 	-1.054 	0.397 	-1.368 	1.095 	-3.500 	-0.037 	0.070 	-0.200 	0.339 	-0.387 	0.492 	
0.584 	-1.964 	-3.510 	0.196 	0.000 	0.701 	0.000 	0.733 	-0.000 	-0.418 	-4.992 	-0.095 	0.095 	-0.339 	0.339 	-0.355 	0.355 	-0.372 	-2.076 	0.142 	-0.349 	0.424 	-1.154 	0.130 	-0.857 	1.089 	-3.489 	-0.060 	0.110 	-0.241 	0.380 	-0.353 	0.356 	
0.701 	-1.936 	-3.510 	0.278 	0.000 	0.762 	0.000 	0.528 	-0.000 	-0.431 	-4.979 	-0.135 	0.135 	-0.369 	0.369 	-0.255 	0.255 	-0.353 	-2.125 	0.192 	-0.484 	0.412 	-1.200 	-0.106 	-0.393 	1.081 	-3.474 	-0.089 	0.154 	-0.278 	0.407 	-0.315 	0.230 	
0.818 	-1.898 	-3.510 	0.367 	0.000 	0.801 	0.000 	0.336 	-0.000 	-0.449 	-4.961 	-0.178 	0.178 	-0.388 	0.388 	-0.162 	0.162 	-0.328 	-2.190 	0.240 	-0.624 	0.375 	-1.197 	-0.311 	0.022 	1.068 	-3.453 	-0.121 	0.202 	-0.310 	0.421 	-0.274 	0.115 	
0.935 	-1.850 	-3.510 	0.461 	0.000 	0.820 	0.000 	0.158 	-0.000 	-0.473 	-4.937 	-0.223 	0.223 	-0.397 	0.397 	-0.076 	0.076 	-0.297 	-2.271 	0.284 	-0.764 	0.319 	-1.152 	-0.485 	0.389 	1.052 	-3.427 	-0.157 	0.251 	-0.337 	0.422 	-0.229 	0.011 	
1.052 	-1.790 	-3.510 	0.557 	0.000 	0.819 	0.000 	-0.007 	-0.000 	-0.502 	-4.908 	-0.269 	0.269 	-0.396 	0.396 	0.003 	-0.003 	-0.262 	-2.368 	0.321 	-0.899 	0.245 	-1.069 	-0.627 	0.708 	1.031 	-3.395 	-0.197 	0.300 	-0.358 	0.413 	-0.180 	-0.081 	
1.168 	-1.720 	-3.510 	0.653 	0.000 	0.801 	0.000 	-0.158 	-0.000 	-0.536 	-4.874 	-0.316 	0.316 	-0.387 	0.387 	0.076 	-0.076 	-0.223 	-2.480 	0.349 	-1.024 	0.159 	-0.955 	-0.739 	0.979 	1.006 	-3.357 	-0.239 	0.349 	-0.373 	0.394 	-0.127 	-0.163 	
1.285 	-1.638 	-3.510 	0.746 	0.000 	0.766 	0.000 	-0.295 	-0.000 	-0.575 	-4.835 	-0.361 	0.361 	-0.371 	0.371 	0.143 	-0.143 	-0.181 	-2.606 	0.368 	-1.135 	0.063 	-0.814 	-0.819 	1.202 	0.976 	-3.313 	-0.282 	0.395 	-0.381 	0.366 	-0.071 	-0.233 	
1.402 	-1.545 	-3.510 	0.836 	0.000 	0.717 	-0.000 	-0.418 	-0.000 	-0.620 	-4.790 	-0.404 	0.404 	-0.347 	0.347 	0.202 	-0.202 	-0.137 	-2.745 	0.375 	-1.231 	-0.038 	-0.653 	-0.868 	1.377 	0.940 	-3.265 	-0.327 	0.437 	-0.382 	0.332 	-0.010 	-0.293 	
1.519 	-1.443 	-3.510 	0.920 	0.000 	0.656 	-0.000 	-0.528 	-0.000 	-0.670 	-4.740 	-0.445 	0.445 	-0.317 	0.317 	0.255 	-0.255 	-0.094 	-2.893 	0.371 	-1.307 	-0.142 	-0.478 	-0.886 	1.504 	0.899 	-3.211 	-0.371 	0.476 	-0.376 	0.292 	0.054 	-0.341 	
1.636 	-1.331 	-3.510 	0.996 	0.000 	0.583 	-0.000 	-0.624 	-0.000 	-0.724 	-4.686 	-0.482 	0.482 	-0.282 	0.282 	0.302 	-0.302 	-0.051 	-3.049 	0.354 	-1.363 	-0.244 	-0.293 	-0.873 	1.583 	0.853 	-3.154 	-0.415 	0.510 	-0.362 	0.248 	0.121 	-0.378 	
1.753 	-1.211 	-3.510 	1.064 	0.000 	0.500 	-0.000 	-0.706 	-0.000 	-0.782 	-4.628 	-0.515 	0.515 	-0.242 	0.242 	0.342 	-0.342 	-0.012 	-3.210 	0.326 	-1.397 	-0.340 	-0.104 	-0.828 	1.614 	0.802 	-3.092 	-0.458 	0.539 	-0.339 	0.201 	0.193 	-0.405 	
1.870 	-1.083 	-3.510 	1.123 	0.000 	0.410 	-0.000 	-0.774 	-0.000 	-0.844 	-4.566 	-0.543 	0.543 	-0.198 	0.198 	0.375 	-0.375 	0.024 	-3.374 	0.286 	-1.409 	-0.428 	0.083 	-0.753 	1.597 	0.746 	-3.028 	-0.497 	0.563 	-0.308 	0.152 	0.268 	-0.420 	
1.986 	-0.949 	-3.510 	1.171 	0.000 	0.313 	-0.000 	-0.829 	-0.000 	-0.909 	-4.501 	-0.566 	0.566 	-0.151 	0.151 	0.401 	-0.401 	0.055 	-3.538 	0.236 	-1.399 	-0.504 	0.262 	-0.646 	1.532 	0.686 	-2.961 	-0.533 	0.581 	-0.268 	0.102 	0.340 	-0.427 	
