0.000 	-1.200 	-5.010 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	-0.400 	-3.510 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	-1.200 	-2.010 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.100 	-3.510 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.119 	-1.200 	-5.010 	0.000 	0.000 	-0.140 	0.332 	-1.180 	2.797 	-0.400 	-3.510 	0.000 	0.000 	0.012 	0.000 	0.105 	0.000 	-1.200 	-2.010 	0.000 	0.000 	0.295 	-0.056 	2.491 	-0.470 	1.100 	-3.510 	0.000 	0.000 	-0.177 	-0.236 	-1.493 	-1.988 	
0.237 	-1.201 	-5.008 	-0.017 	0.039 	-0.228 	0.596 	-0.741 	2.231 	-0.400 	-3.510 	0.001 	0.000 	0.023 	0.000 	0.088 	0.000 	-1.198 	-2.010 	0.035 	-0.007 	0.528 	-0.117 	1.960 	-0.519 	1.099 	-3.512 	-0.021 	-0.028 	-0.324 	-0.411 	-1.244 	-1.483 	
0.356 	-1.205 	-4.999 	-0.044 	0.110 	-0.269 	0.798 	-0.347 	1.706 	-0.400 	-3.510 	0.004 	0.000 	0.032 	0.000 	0.073 	0.000 	-1.190 	-2.012 	0.098 	-0.021 	0.702 	-0.183 	1.469 	-0.556 	1.094 	-3.518 	-0.059 	-0.077 	-0.444 	-0.532 	-1.011 	-1.019 	
0.474 	-1.212 	-4.980 	-0.075 	0.205 	-0.269 	0.943 	0.003 	1.223 	-0.399 	-3.510 	0.008 	0.000 	0.039 	0.000 	0.059 	0.000 	-1.174 	-2.016 	0.181 	-0.042 	0.822 	-0.252 	1.018 	-0.579 	1.084 	-3.531 	-0.112 	-0.140 	-0.538 	-0.603 	-0.792 	-0.599 	
0.593 	-1.222 	-4.949 	-0.107 	0.316 	-0.232 	1.036 	0.307 	0.780 	-0.398 	-3.510 	0.012 	0.000 	0.044 	0.000 	0.045 	0.000 	-1.146 	-2.022 	0.278 	-0.072 	0.895 	-0.322 	0.608 	-0.590 	1.067 	-3.552 	-0.176 	-0.211 	-0.608 	-0.629 	-0.587 	-0.220 	
0.711 	-1.237 	-4.905 	-0.135 	0.439 	-0.165 	1.081 	0.567 	0.380 	-0.396 	-3.510 	0.018 	0.000 	0.048 	0.000 	0.033 	-0.000 	-1.107 	-2.033 	0.384 	-0.110 	0.923 	-0.391 	0.239 	-0.587 	1.042 	-3.581 	-0.248 	-0.286 	-0.655 	-0.616 	-0.397 	0.115 	
0.830 	-1.254 	-4.845 	-0.154 	0.567 	-0.072 	1.083 	0.781 	0.020 	-0.393 	-3.510 	0.023 	0.000 	0.050 	0.000 	0.021 	-0.000 	-1.055 	-2.049 	0.494 	-0.157 	0.912 	-0.459 	-0.090 	-0.572 	1.008 	-3.619 	-0.326 	-0.359 	-0.681 	-0.567 	-0.221 	0.409 	
0.948 	-1.273 	-4.770 	-0.163 	0.696 	0.040 	1.048 	0.951 	-0.298 	-0.390 	-3.510 	0.029 	0.000 	0.051 	0.000 	0.010 	-0.000 	-0.990 	-2.071 	0.602 	-0.211 	0.867 	-0.524 	-0.378 	-0.544 	0.964 	-3.666 	-0.406 	-0.426 	-0.688 	-0.489 	-0.060 	0.660 	
1.067 	-1.292 	-4.680 	-0.158 	0.820 	0.168 	0.980 	1.075 	-0.575 	-0.386 	-3.510 	0.035 	0.000 	0.051 	0.000 	-0.000 	-0.000 	-0.913 	-2.100 	0.705 	-0.273 	0.793 	-0.583 	-0.626 	-0.503 	0.911 	-3.720 	-0.488 	-0.484 	-0.678 	-0.386 	0.086 	0.869 	
1.185 	-1.309 	-4.576 	-0.138 	0.936 	0.305 	0.883 	1.155 	-0.811 	-0.382 	-3.510 	0.042 	0.000 	0.050 	0.000 	-0.010 	-0.000 	-0.824 	-2.136 	0.799 	-0.342 	0.694 	-0.636 	-0.833 	-0.449 	0.849 	-3.780 	-0.568 	-0.530 	-0.652 	-0.263 	0.218 	1.035 	
1.304 	-1.324 	-4.459 	-0.102 	1.041 	0.446 	0.764 	1.189 	-1.006 	-0.377 	-3.510 	0.047 	0.000 	0.048 	0.000 	-0.018 	-0.000 	-0.724 	-2.181 	0.881 	-0.418 	0.576 	-0.682 	-1.000 	-0.382 	0.777 	-3.844 	-0.645 	-0.561 	-0.612 	-0.126 	0.336 	1.159 	
